ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
10.2,75 m²,2 + 1,38 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","1.800.000
TL"
10.3,110 m²,3 + 1,40 Yaşında,İstanbul,"Fatih, Atikali Mahallesi","3.500.000
TL"
10.4,85 m²,2 + 1,38 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","3.100.000
TL"
10.5,85 m²,2 + 1,45 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","1.700.000
TL"
10.6,90 m²,2 + 1,26 Yaşında,İstanbul,"Fatih, Hırka-I Şerif Mahallesi","1.500.000
TL"
10.7,80 m²,1 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","1.580.000
TL"
10.8,60 m²,1 + 1,35 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","1.280.000
TL"
10.9,80 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Şehremini Mahallesi","2.100.000
TL"
10.10,70 m²,1 + 1,45 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","1.600.000
TL"
10.11,85 m²,2 + 1,35 Yaşında,İstanbul,"Fatih, Seyyid Ömer Mahallesi","2.450.000
TL"
10.12,120 m²,3 + 1,40 Yaşında,İstanbul,"Fatih, Sümbül Efendi Mahallesi","2.450.000
TL"
10.13,186 m²,3 + 3,30 Yaşında,İstanbul,"Fatih, Balat Mahallesi","9.000.000
TL"
10.14,140 m²,3 + 1,25 Yaşında,İstanbul,"Fatih, Ali Kuşçu Mahallesi","5.000.000
TL"
10.15,77 m²,2 + 1,43 Yaşında,İstanbul,"Fatih, Derviş Ali Mahallesi","2.000.000
TL"
10.16,90 m²,2 + 1,30 Yaşında,İstanbul,"Fatih, Mevlanakapı Mahallesi","2.400.000
TL"
10.17,95 m²,2 + 1,13 Yaşında,İstanbul,"Fatih, İskenderpaşa Mahallesi","3.250.000
TL"
10.18,75 m²,2 + 1,50 Yaşında,İstanbul,"Fatih, Koca Mustafapaşa Mahallesi","3.499.999
TL"
